Last Trade,Strike,Price,Volume,Open Interest,IV
2018-01-19 3:52PM EST,42.5,135.83,38,470,54.59%
2018-01-19 11:10AM EST,47.5,130.35,6,127,50.39%
2018-01-19 11:10AM EST,55,122.85,6,446,55.81%
2018-01-19 3:50PM EST,60,118.4,12,"1,616",51.90%
2017-11-16 2:14PM EST,65,107,5,51,0.00%
2018-01-16 9:30AM EST,70,108,10,239,64.99%
2018-01-19 10:26AM EST,75,103.14,1,259,60.73%
2018-01-18 10:02AM EST,80,99.5,20,"1,621",57.06%
2018-01-19 10:55AM EST,85,93.06,7,214,51.89%
2018-01-19 3:58PM EST,90,88.54,1,"1,889",49.54%
2018-01-18 11:16AM EST,95,85,157,"2,650",47.22%
2018-01-17 9:56AM EST,97.5,78.9,87,236,42.86%
2018-01-19 3:56PM EST,100,78.7,270,"16,466",33.35%
2018-01-18 3:28PM EST,105,75.8,2,"2,025",40.08%
2018-01-19 3:24PM EST,110,69.82,22,"3,963",33.47%
2018-01-19 1:33PM EST,115,65,10,"5,419",35.05%
2018-01-19 3:55PM EST,120,60.2,77,"13,309",32.72%
2018-01-19 1:31PM EST,125,56.5,19,"6,719",31.43%
2018-01-19 3:50PM EST,130,51.5,107,"8,291",32.38%
2018-01-19 2:50PM EST,135,47.4,17,"6,195",31.37%
2018-01-19 3:04PM EST,140,43.09,52,"22,873",32.45%
2018-01-19 3:40PM EST,145,39,48,"32,889",28.28%
2018-01-19 3:56PM EST,150,35.38,165,"19,596",27.75%
2018-01-19 3:56PM EST,155,31.75,52,"7,434",27.97%
2018-01-19 3:52PM EST,160,28.3,113,"16,143",26.60%
2018-01-19 3:59PM EST,165,25.2,128,"8,844",26.50%
2018-01-19 3:58PM EST,170,22.27,333,"17,827",26.15%
2018-01-19 3:57PM EST,175,19.45,481,"11,894",25.79%
2018-01-19 3:59PM EST,180,17.07,"2,316","15,053",25.21%
2018-01-19 3:08PM EST,185,14.77,892,"4,074",25.03%
2018-01-19 3:57PM EST,190,12.75,349,"7,515",24.70%
2018-01-19 3:55PM EST,195,11,110,"3,954",24.95%
2018-01-19 3:42PM EST,200,9.35,362,"19,076",24.34%
2018-01-19 3:18PM EST,205,8.05,93,"2,550",24.19%
2018-01-19 3:20PM EST,210,6.9,122,"5,894",24.09%
2018-01-19 3:33PM EST,215,5.8,16,"2,166",24.26%
2018-01-19 3:58PM EST,220,4.9,49,"2,843",24.02%
2018-01-19 3:53PM EST,225,4.15,22,"2,524",24.01%
2018-01-19 3:53PM EST,230,3.45,60,"1,626",24.00%
2018-01-19 3:32PM EST,235,3.05,15,"1,171",24.13%
2018-01-19 3:41PM EST,240,2.55,141,"1,089",24.20%
2018-01-19 3:40PM EST,245,2.18,14,"1,280",24.41%
2018-01-19 3:36PM EST,250,1.88,262,"7,654",24.25%
2018-01-19 10:05AM EST,260,1.44,16,"1,167",24.51%